17.12.2014,"2,5",Bread
17.12.2014,"13,5",Fish
17.12.2014,15,Milkg
18.12.2014,6,Drinksg
18.12.2014,46,Meatg
18.12.2014,22,Chemicals
18.12.2014,9,Bread
18.12.2014,17,Fruitg
18.12.2014,19,Milkg
18.12.2014,3,Vegetablesg
18.12.2014,15,Fish
18.12.2014,10,Fruitg
19.12.2014,150,Cafe
20.12.2014,70,Cafe
20.12.2014,35,Meatg
20.12.2014,5,Bread
20.12.2014,10,Spice
20.12.2014,12,Drinksg
20.12.2014,12,Sweet
20.12.2014,5,Chemicals
20.12.2014,50,EFood
20.12.2014,76,EDrinks
21.12.2014,10,Sweet
22.12.2014,78,Meatg
22.12.2014,1,Chemicals
22.12.2014,42,Fruitg
22.12.2014,10,Milkg
22.12.2014,15,Oil
22.12.2014,4,Sweet
23.12.2014,"2,5",Bread
23.12.2014,21,Milkg
23.12.2014,5,Drinksg
23.12.2014,"12,5",Sweet
23.12.2014,4,Gum
23.12.2014,2,Fruitg
23.12.2014,12,Spice
23.12.2014,140,Home
23.12.2014,15,Clothes
23.12.2014,222,Cafe
24.12.2014,8,Office Equipment
24.12.2014,2,Office Equipment
24.12.2014,8,Spice
24.12.2014,"11,5",Fish
24.12.2014,6,Drinksg
24.12.2014,13,Sweet
24.12.2014,9,Milkg
24.12.2014,14,Eggs
24.12.2014,5,Bread
26.12.2014,12,Drinksg
26.12.2014,166,Gift
26.12.2014,85,Home
26.12.2014,12,Chemicals
26.12.2014,"87,5",Meatg
26.12.2014,39,Alcogolg
26.12.2014,27,Spice
26.12.2014,20,Milkg
26.12.2014,5,Vegetablesg
26.12.2014,12,Drinksg
26.12.2014,126,Hygiene
26.12.2014,20,Cerealsg
26.12.2014,58,Fish
26.12.2014,6,Sweet
26.12.2014,4,Bread
27.12.2014,28,Milkg
27.12.2014,75,Alcogolg
27.12.2014,6,Drinksg
27.12.2014,5,Bread
27.12.2014,5,Chemicals
27.12.2014,28,Fish
27.12.2014,25,Sweet
27.12.2014,8,Spice
28.12.2014,17,Drinksg
28.12.2014,17,Meatg
28.12.2014,4,Chemicals
28.12.2014,144,Drags
29.12.2014,373,Gift
29.12.2014,17,Home
29.12.2014,25,Home
29.12.2014,8,Hygiene
29.12.2014,38,Fruitg
29.12.2014,22,Spice
29.12.2014,50,Gift
29.12.2014,16,Sweet
29.12.2014,4,Chemicals
29.12.2014,6,Bread
